name,title,image_src,reports_to,chart_status
Greg Rossi,"Vice President Disney Advertising Sales, Global Investment Lead WPP",https://cdn.theorg.com/e059c773-6196-4063-957a-ccf69f3ec41e_thumb.jpg,Rita Ferro,4
Michelle Marchewka,VP Ad Sales Marketing And Partnerships,https://cdn.theorg.com/d22ec5c8-be60-4199-9131-712e81b2c5e6_thumb.jpg,Rita Ferro,4
Scott Ashby,"Vice President, Business Development, Advertising Platforms",https://cdn.theorg.com/24822a45-3122-44bf-a2c9-f486c20c9dd6_thumb.jpg,Rita Ferro,4
Paweł Mrugacz,Director Of Studio & Integrated Marketing CEE & CIS,https://cdn.theorg.com/70e9d09f-b3ea-4f71-9702-a5ea3090b873_thumb.jpg,Rita Ferro,4
Sankalp Bala,"Growth & Acquisitions Lead, Sea, HK & TW",https://cdn.theorg.com/9f8277c9-3438-464b-bbc5-3dea2c27a59d_thumb.jpg,Rita Ferro,4
Scott Lambert,"Global Media Partnerships, Luxury Category Head At National Geographic And Disney+",https://cdn.theorg.com/664bcbb8-5723-448f-9481-5ff4a945a38b_thumb.jpg,Rita Ferro,4
Patrice Poynter,SVP Digital Experience,https://cdn.theorg.com/ec561719-2408-4043-a26b-5185b9d06276_thumb.jpg,Rita Ferro,4
Tiffany Rende,SVP Corporate Alliances & Marketing Partnerships,https://cdn.theorg.com/c0957192-cd3a-4d01-a510-521ed9e40370_thumb.jpg,Rita Ferro,4
Kara Anderson,"Vp, Enterprise Compensation",https://cdn.theorg.com/0081860f-e227-42b2-b6d6-66b0ba3cad0d_thumb.jpg,Rita Ferro,4
Robin Seidner D'Elia,"Vp, Entertainment Brand Solutions, Scripted Series & Brand Initiatives",https://cdn.theorg.com/1a346f80-6fd9-4b5b-a927-cb20ef722999_thumb.jpg,Rita Ferro,4
Joe Ortiz,"Svp, Content Marketing, Hulu | Onyx Collective & Freeform",https://cdn.theorg.com/0d976035-4c01-4fcd-8b17-91da15dabc4a_thumb.jpg,Aaron Goldman,4
Nicholas Brookins,"Senior Vice President, Media Engineering",no_match,Aaron Goldman,4
Paloma Azulay,"VP Brand Marketing, Hulu",https://cdn.theorg.com/1f48ce78-4b68-4ace-bc45-670ffb2fc485_thumb.jpg,Aaron Goldman,4
Theresa Travis,"Executive Director, Marketing Engagement, Experiential And Influencers - Freeform",no_match,Joe Ortiz,5
Whitney D. McGowan,"Director, Social Media & Influencer Partnerships @ Onyx Collective",https://cdn.theorg.com/71498bef-f6da-45d2-948e-47d50025b12c_thumb.jpg,Joe Ortiz,5
Charles Jacob,"Executive Director, Network Operations, Media Networks",https://cdn.theorg.com/b5110ea5-412b-46f5-bd62-8659b4aadbf7_thumb.jpg,Nicholas Brookins,5
Jeremiah J. Tachna,"Vice President Of Sales, Disney Advertising",https://cdn.theorg.com/3f4569b6-a942-4247-bfe3-f34b67389bec_thumb.jpg,Andrew Messina,5
Wendell Scott,"Senior Vice President, Disney Advertising Sales",no_match,Andrew Messina,5
Gwen Grech,"Director, Client Partnerships, Disney Advertising",https://cdn.theorg.com/67947200-05ad-4998-9db5-7b2b44b52478_thumb.jpg,Andrew Messina,5
