name,title,image_src,reports_to,chart_status
Vanessa Feliberti,"CVP, M365 Services Platform Engineering",https://cdn.theorg.com/9e5550b7-2e69-4f2b-b057-c73448c22e95_thumb.jpg,Kevin Scott,3
John Maeda,"VP, Design & Artificial Intelligence",https://cdn.theorg.com/03e7dc62-075e-4a21-a599-9d6ce7d410ef_thumb.jpg,Kevin Scott,3
Gopal Kakivaya,"CVP & Technical Fellow, Office of the CTO",https://cdn.theorg.com/70c309f7-017d-4a7c-a44a-598033c78656_thumb.jpg,Kevin Scott,3
Mike Ehrenberg,Technical Fellow,https://cdn.theorg.com/56fea3cc-0a93-4917-a3ea-e6e6ac7d28b2_thumb.jpg,Kevin Scott,3
Julia Liuson,"President, Developer Division",https://cdn.theorg.com/11c091f9-5391-4f92-a241-f770e2fe6d6a_thumb.jpg,Kevin Scott,3
Dr. Rohini Srivathsa,Chief Technology Officer - Microsoft India & South Asia,https://cdn.theorg.com/90a31b20-df8f-44bb-880a-6ea337f91054_thumb.jpg,Kevin Scott,3
Tara Roth,"CVP, Office Customer Success Engineering",https://cdn.theorg.com/2404987c-0446-4767-93a4-957f83e9fae5_thumb.jpg,Kevin Scott,3
Ales Holecek,"CVP, Engineering, Office Experience Group",https://cdn.theorg.com/c583cfcb-c9fc-40e4-b444-f20be2badc37_thumb.jpg,Kevin Scott,3
Amanda Langowski,Head of Microsoft Insider Program,https://cdn.theorg.com/fbb87172-701f-452d-8e3a-421f34e94eef_thumb.jpg,Kevin Scott,3
Bill Duff,"CVP & CFO, Consumer & Devices",https://cdn.theorg.com/f5789386-bcb3-4bbc-a058-3dec268518f4_thumb.jpg,Amy Hood,3
Daniel Goff,"CVP, Worldwide Tax & Trade",https://cdn.theorg.com/40b60775-be75-4522-81e1-604c34ae3069_thumb.jpg,Amy Hood,3
Julia Charter,Chief Audit & Risk Executive,https://cdn.theorg.com/473bca53-05a2-4230-87f6-ef13732b9738_thumb.jpg,Amy Hood,3
John Min,"GM, Corporate Services Finance",https://cdn.theorg.com/6c996b29-e015-4631-a60b-0fac69c3b7a1_thumb.jpg,Amy Hood,3
Seth Eisner,"Corporate Vice President & CFO, Commercial Products (Cloud +AI, Modern Work, Security, Bus Apps)",https://cdn.theorg.com/d8cf2c03-333c-4744-8574-e9126bf3b01a_thumb.jpg,Amy Hood,3
Matt Booty,"CVP, Head of Microsoft Studios",https://cdn.theorg.com/806e0280-9c54-4e53-b43e-680fd8e2875a_thumb.jpg,Phil Spencer,3
Dave McCarthy,"CVP, Xbox Operations",https://cdn.theorg.com/c8ab440f-405b-48d3-a14b-569a90737882_thumb.jpg,Phil Spencer,3
Kareem Choudhry,"CVP, Gaming Cloud",https://cdn.theorg.com/502e2fcf-fb9c-439f-9092-88f3e94efcd3_thumb.jpg,Phil Spencer,3
Chuck Edward,"CVP, Human Resources",https://cdn.theorg.com/1f7d58f7-b2ba-4d99-8f35-d5dff2b218e9_thumb.jpg,Kathleen Hogan,3
Kristen Roby Dimlow,"CVP, Total Rewards, Performance, & HRBI",https://cdn.theorg.com/16294c99-97be-4a97-97bc-1fca69c992b2_thumb.jpg,Kathleen Hogan,3
Lindsay-Rae McIntyre,Chief Diversity Officer And Corporate Vice President Of Talent And Learning,https://cdn.theorg.com/ebbdfbea-4519-4cf3-ba7a-1003ea6190ba_thumb.jpg,Kathleen Hogan,3
Christopher J. Fernandez,"CVP, Human Resources",https://cdn.theorg.com/8b077c2d-323c-4a5b-a1ce-298a55217fad_thumb.jpg,Kathleen Hogan,3
Bobby Yerramilli-Rao,"Chief Strategy Officer & CVP, Corporate Strategy",https://cdn.theorg.com/638490eb-fc97-4bab-ad05-2c0c183b38e8_thumb.jpg,Christopher Young,3
Mamata Bhopatkar,"Vice President WW Sales Strategy Enablement, Business & Sales Operations",no_match,Christopher Young,3
Kya Sainsbury-Carter,"Corporate Vice President, Microsoft Advertising",https://cdn.theorg.com/15a5b3ae-ab10-45fc-bd62-b2ca6df19f93_thumb.jpg,Christopher Young,3
Tarun Mehra,"Vp, Healthcare Strategy And Partnerships (nuance)",https://cdn.theorg.com/7c2305fd-db9d-4609-b784-fd2e9b50de99_thumb.jpg,Christopher Young,3
Bret Arsenault,Corporate Vice President And Chief Cybersecurity Advisor,https://cdn.theorg.com/a71b6b0e-eec6-444a-8513-ce68c41eb95c_thumb.jpg,Charlie Bell,3
Michal Braverman-Blumenstyk,"CTO, Security, Compliance, Identity & Management Division",https://cdn.theorg.com/137be740-7e27-42b1-aa2c-da35d23dcae0_thumb.jpg,Charlie Bell,3
Rob Lefferts,"CVP, Program Management, Microsoft 365 Security & Compliance",no_match,Charlie Bell,3
Marcus Ash,Corporate Vice President,https://cdn.theorg.com/4ef89015-eec8-42ff-9010-16311bbff26e_thumb.jpg,Jason Zander,3
Sharon Schoenborn,Corporate Vice President - EMEA SMC At Microsoft,https://cdn.theorg.com/c48e7537-3847-4ad3-a309-b7caaaddae88_thumb.jpg,Jason Zander,3
Corey Sanders,Corporate Vice President of Microsoft Cloud for Industry & Global Expansion Team,no_match,Scott Guthrie,3
Mark Russinovich,"CTO, Microsoft Azure",https://cdn.theorg.com/29c80f8e-b2db-40a8-972b-6b039230db04_thumb.jpg,Scott Guthrie,3
Jordi Ribas,"CVP, Search & AI",no_match,Scott Guthrie,3
Sandeep Bhanot,"Corporate Vice President, Engineering And Data",no_match,Scott Guthrie,3
Fatima Kardar,"Corporate Vice President, Gaming AI",https://cdn.theorg.com/c5b6554c-fc61-4fc5-bd9d-bf0a925100f6_thumb.jpg,Scott Guthrie,3
Christiano Faig,Vice President Of Solution Sales & Technology,https://cdn.theorg.com/da588f3a-f485-4056-87a2-a74938182e12_thumb.jpg,Scott Guthrie,3
Rajkumar Mohanram,"Vice President And Head Of Engineering And Product, Windows + Devices, India Development Center",https://cdn.theorg.com/b3a7c7fa-1f17-4a96-9363-653f15fca189_thumb.jpg,Scott Guthrie,3
Ahmad al Qadi,Principal Regional IT Manager -microsoft Gulf,https://cdn.theorg.com/031de64b-0204-453e-930c-9ab7ccdc5210_thumb.jpg,Scott Guthrie,3
Jason Graefe,"Corporate Vice President, ISV and Digital Natives",https://cdn.theorg.com/5b10433b-0ac7-4f0a-8c3c-da2ce73991fd_thumb.jpg,Scott Guthrie,3
Girish Bablani,"CVP, Azure Core",no_match,Scott Guthrie,3
Ahmed Sabbour,"Senior Product Marketing Manager, Azure",https://cdn.theorg.com/410462a3-6530-4bdf-a7ef-e474276455c7_thumb.jpg,Takeshi Numoto,3
Jared Spataro,"Corporate VP, Microsoft 365 Marketing",https://cdn.theorg.com/c5ee665d-4a55-4687-8ee2-50a69622f1a5_thumb.jpg,Takeshi Numoto,3
Frank X. Shaw,"CVP, Communications",https://cdn.theorg.com/8d5eb26a-fb7a-404f-927a-8f3d70efb457_thumb.jpg,Takeshi Numoto,3
Vasu Jakkal,"CVP, CMO, Security, Compliance & Identity",https://cdn.theorg.com/7b652b79-021c-438c-9ed2-f2c6ae22d0a1_thumb.jpg,Takeshi Numoto,3
Rosie Mastrandrea,"Sr. Director, Sustainability Product Marketing",https://cdn.theorg.com/48bcb9d9-b54c-41ad-a0bd-2545616274f6_thumb.jpg,Takeshi Numoto,3
Matt Barlow,"CVP, Surface Marketing",https://cdn.theorg.com/1995b07d-dae7-4b8f-958f-b5c1432af264_thumb.jpg,Takeshi Numoto,3
Kathleen Hall,"Chief Brand Officer & CVP, Brand, Advertising & Research",https://cdn.theorg.com/6e4728c7-d1d8-4cd9-94cf-a6710dc114ad_thumb.jpg,Takeshi Numoto,3
