name,title,image_src,reports_to,chart_status
Alan Birchall,Volunteer Guide,https://cdn.theorg.com/b3f83ca6-135e-445d-8bc7-20c754a8fa69_thumb.jpg,Deirdre O’Brien,3
Iwan Roberts,Technical Recruiter,no_match,Deirdre O’Brien,3
Jen Deale,"Senior Recruiting Lead, Content Design & Creative, Product Management And Marketing For services",https://cdn.theorg.com/6b4507f4-848d-4af7-b4d0-52ac852e9540_thumb.jpg,Deirdre O’Brien,3
Joan Stephens,Sr. Recruiting Manager,no_match,Deirdre O’Brien,3
Alyssa Glass,Head of Data Science - Apple Maps,no_match,John Giannandrea,3
Samy Bengio,"Senior Director, AI & Machine Learning Research",https://cdn.theorg.com/bb20b8db-0e8f-4875-9600-02b4223ce873_thumb.jpg,John Giannandrea,3
Gaurav Kapoor,Director of Machine Learning,https://cdn.theorg.com/f2d623e5-b360-4066-94a2-a26e6b8d2ad4_thumb.jpg,John Giannandrea,3
Jerremy Holland,Director of AI Research,https://cdn.theorg.com/2bfde817-2efa-49f7-85cc-a16b212e11dd_thumb.jpg,John Giannandrea,3
Behzad Reyhani,"Team Member, Special Projects Group",https://cdn.theorg.com/2a0f32b3-7ebb-4552-87fa-00ee49f72c1f_thumb.jpg,John Giannandrea,3
Tapani Raiko,Principal Research Scientist,https://cdn.theorg.com/a374bbb3-6e3f-4f19-be58-323ad42e98fc_thumb.jpg,John Giannandrea,3
Rajiv J Krishnamurthy,Head Of DS And ML Engineering,no_match,John Giannandrea,3
Daphne Luong,"Senior Director, Machine Learning And AI",https://cdn.theorg.com/4f07a2be-fc45-42cc-a056-8d17eaaf844a_thumb.jpg,John Giannandrea,3
Andy Narayanan,"Head Of Product - Foundation Models, Generative Ai, Machine Intelligence @apple Ai/ml",https://cdn.theorg.com/06b001f5-a200-4aea-887f-971295f78bd5_thumb.jpg,John Giannandrea,3
Shamitha Somashekar,Head Of Product & Program Management - AIML Research & Applied ML,https://cdn.theorg.com/d56ef9a5-7074-4c00-9553-bf6659a1e3ae_thumb.jpg,John Giannandrea,3
Mohit Bhatnagar,"Head Of Product, Ai/ml Infra & Ops",https://cdn.theorg.com/b6dc7e68-0fa0-4b7e-80d6-2e838ebdd4ad_thumb.jpg,John Giannandrea,3
Ankur Gupta,"Director, Maps Global Search, Data AIML And Genai",https://cdn.theorg.com/223b1c6d-e1ea-448e-9bdf-89ea5b510308_thumb.jpg,John Giannandrea,3
Anuradha Gali,Director Of Engineering - Ai/ml,no_match,John Giannandrea,3
Yasmin Alameddine,"Head Of Operations, Chief Of Staff Team, Machine Learning Platform Technologies & Infrastructure",https://cdn.theorg.com/185f3217-ae44-4e30-aa0c-39a539e12ba7_thumb.jpg,John Giannandrea,3
